sector,lat,lon
AB10,57.13529721513349,-2.120269829376855
AB11,57.13923963536777,-2.092859600938969
AB12,57.102013428392006,-2.113087870603014
AB14,57.100516811188825,-2.2714151328671335
AB15,57.137565398892,-2.1688987811634366
AB16,57.16003827496769,-2.156708106355382
AB21,57.20901869191923,-2.2013996893939387
BB1,53.756796254263534,-2.4629832782945704
AB23,57.21309980503144,-2.0893086666666676
AB24,57.16394744019728,-2.1079434143033295
ZE2,60.31396957692304,-1.2284681570512819
ZE1,60.15149816513768,-1.170511571865443
ZE3,59.88294708333333,-1.3043576666666665
YO8,53.78137960678492,-1.0605224441017735
YO90,53.95970819999999,-1.0902501
YO7,54.22455994899044,-1.3515549458023395
YO62,54.24623138149359,-0.9942314431818187
YO61,54.11795266212119,-1.1960074151515157
YO60,54.08610155642027,-0.9389499299610894
YO51,54.090100285140586,-1.3947588795180719
YO43,53.8494935386266,-0.6845733905579402
YO42,53.92397356729381,-0.7899515947901593
YO41,53.97051927981651,-0.9004013899082575
YO32,54.01238519595456,-1.0594209051833123
YO31,53.96990821455467,-1.0644174002509437
YO30,53.98703592899404,-1.1169384127218935
YO26,53.975852678240685,-1.178900943287038
YO25,54.00401863928303,-0.4165203286034351
YO24,53.94595361726619,-1.1170263654676253
YO23,53.92355081043475,-1.1232861391304336
YO22,54.45079716470592,-0.6216865435294116
YO21,54.476959229289974,-0.7108292189349115
YO19,53.90639046583851,-1.0209204430641823
YO18,54.25893153864171,-0.7690067353629981
YO17,54.13688239246653,-0.7572648335358456
YO16,54.095674965620326,-0.2021666756352768
YO15,54.09492179260779,-0.17678624845995883
YO14,54.1979292889447,-0.29820863819095483
YO13,54.287397029702966,-0.499122935643564
YO12,54.27331930011328,-0.4249209762174404
YO11,54.263772943421,-0.3963967473684209
YO10,53.95045359624414,-1.057500500782473
YO1,53.958608260000084,-1.0827660044444465
WV9,52.63766243243243,-2.143534167567568
WV8,52.625906244186,-2.1875377953488386
WV7,52.63553379396985,-2.279442452261306
WV6,52.596803046153774,-2.1829392394230807
WV5,52.53411827956987,-2.210338236559142
WV4,52.561409987821406,-2.1447119797023015
WV3,52.57903527435065,-2.156520121753247
WV2,52.57363319642858,-2.118289707589286
WV16,52.50933216341028,-2.4408835222024887
WV15,52.51560211186439,-2.3743983152542385
WV14,52.55734499420286,-2.078900431884059
WV13,52.58515759126992,-2.058122285714286
WV12,52.605851097222214,-2.0404446527777775
WV11,52.61055472418881,-2.0719548628318587
WV10,52.619169276909716,-2.1135371015625024
WV1,52.586441472644445,-2.1158018191489347
WS9,52.61000094294769,-1.9184678557844685
WS8,52.64746869687499,-1.933243771875001
WS7,52.67969579910041,-1.921636866566715
WS6,52.65855043504533,-2.0231546555891233
WS5,52.56599509788356,-1.9583275238095235
WS4,52.60686870029678,-1.9587114391691387
WS3,52.619725789046626,-1.9920112839756625
WS2,52.58926755706526,-2.004332714673912
WS15,52.75858028732391,-1.917325593427233
WS14,52.66417527648118,-1.816310938958707
WS13,52.692827802312124,-1.8185049965317914
WS12,52.70714517786555,-2.00268712648221
WS11,52.687921849802386,-2.0171462361660057
WS10,52.560652333692204,-2.0224505748116255
WS1,52.579387646967334,-1.9786728989113527
WR9,52.2667704966139,-2.158373423250563
WR99,52.194862799999996,-2.2031008
WR8,52.07451840532542,-2.2065700769230765
WR7,52.19656135348836,-2.0493667720930233
WR6,52.22993777042802,-2.3820424027237355
WR5,52.174837302878636,-2.20203661451815
WR4,52.203719266243965,-2.1898776196513388
WR3,52.216947229323246,-2.2139730620300764
WR2,52.18827710381079,-2.2486034901445486
WR15,52.30553523552123,-2.569623397683398
WR14,52.1143763660796,-2.3203938591288242
WR13,52.093242223118196,-2.342817309139784
WR12,52.04140141463413,-1.8704376390243904
WR11,52.09575829815754,-1.9291660067001664
WR10,52.11511686128059,-2.0676545259146346
